kata,aspek,sentimen
tanamera,kenyamanan,positif
kopi,kenyamanan,positif
harus,kenyamanan,positif
pada,kenyamanan,positif
tau,kenyamanan,positif
ya,kenyamanan,positif
cabang,kenyamanan,positif
sudah,kenyamanan,positif
banyak,kenyamanan,positif
banget,kenyamanan,positif
di,kenyamanan,positif
surabaya,kenyamanan,positif
tempat,kenyamanan,positif
luas,kenyamanan,positif
ada,kenyamanan,positif
tingkat,kenyamanan,positif
enak,kenyamanan,positif
banget,kenyamanan,positif
buat,kenyamanan,positif
kerja,kenyamanan,positif
rumah,kenyamanan,positif
tidak,kenyamanan,positif
terlalu,kenyamanan,positif
berisik,kenyamanan,positif
suasana,kenyamanan,positif
kemarin,rasa,positif
sih,rasa,positif
administrator,rasa,positif
benar,rasa,positif
asal,rasa,positif
aja,rasa,positif
beli,rasa,positif
cemilan,rasa,positif
sudah,rasa,positif
kenyang,rasa,positif
banget,rasa,positif
bagai,rasa,positif
cinta,rasa,positif
tape,rasa,positif
goreng,rasa,positif
nyata,rasa,positif
enak,rasa,positif
lo,rasa,positif
pas,rasa,positif
hangat,rasa,positif
hangat,rasa,positif
dalam,rasa,positif
asa,rasa,positif
lumer,rasa,positif
maaf,rasa,positif
banget,rasa,positif
kalau,rasa,positif
foto,rasa,positif
kurang,rasa,positif
deskripsi,rasa,positif
lumer,rasa,positif
nya,rasa,positif
kalian,rasa,positif
kalau,rasa,positif
kesini,rasa,positif
coba,rasa,positif
bukti,rasa,positif
aja,rasa,positif
isi,rasa,positif
ada,rasa,positif
biji,rasa,positif
dan,rasa,positif
besar,rasa,positif
besar,rasa,positif
banget,rasa,positif
jujur,rasa,positif
habis,rasa,positif
jadi,harga,netral
benar,harga,netral
harga,harga,netral
nya,harga,netral
cukup,harga,netral
mahal,harga,netral
tetap,harga,netral
timpal,harga,netral
juga,harga,netral
tanamera,harga,netral
kopi,harga,netral
alpukat,harga,netral
jus,harga,netral
tape,harga,netral
goreng,harga,netral
tanggalgajian,harga,netral
pisang,rasa,positif
goreng,rasa,positif
enak,rasa,positif
manis,rasa,positif
minta,rasa,positif
nambah,rasa,positif
tambah,rasa,positif
gula,rasa,positif
halus,rasa,positif
dingin,rasa,positif
putih,rasa,positif
karamel,rasa,positif
50k,rasa,positif
enak,rasa,positif
rekomendasi,rasa,positif
manis,rasa,positif
masih,rasa,positif
rasa,rasa,positif
kopi,rasa,positif
aman,rasa,positif
buat,rasa,positif
tidak,rasa,positif
suka,rasa,positif
kopi,rasa,positif
pahit,rasa,positif
karamel,rasa,positif
macchiato,rasa,positif
enak,rasa,positif
tapi,rasa,positif
lebih,rasa,positif
rekomendasi,rasa,positif
dingin,rasa,positif
putih,rasa,positif
karamel,rasa,positif
nyaman,kenyamanan,positif
luas,kenyamanan,positif
tempat,kenyamanan,positif
area,kenyamanan,positif
luar,kenyamanan,positif
lantai,kenyamanan,positif
belah,kenyamanan,positif
market,kenyamanan,positif
nyaman,kenyamanan,positif
hangat,kenyamanan,positif
kafe,kenyamanan,positif
konsep,kenyamanan,positif
wadah,kenyamanan,positif
modern,kenyamanan,positif
tenang,kenyamanan,positif
tidak,kenyamanan,positif
bakal,kenyamanan,positif
panas,kenyamanan,positif
kalau,kenyamanan,positif
tongkrong,kenyamanan,positif
dalam,kenyamanan,positif
justru,kenyamanan,positif
dingin,kenyamanan,positif
banget,kenyamanan,positif
malah,kenyamanan,positif
betul,kenyamanan,positif
pas,kenyamanan,positif
kafe,kenyamanan,positif
sore,kenyamanan,positif
hari,kenyamanan,positif
jadi,kenyamanan,positif
senang,kenyamanan,positif
banget,kenyamanan,positif
habis,kenyamanan,positif
waktu,kenyamanan,positif
sini,kenyamanan,positif
sama,kenyamanan,positif
temen,kenyamanan,positif
kembali,kenyamanan,positif
lain,kenyamanan,positif
waktu,kenyamanan,positif
salah,pelayanan,positif
satu,pelayanan,positif
kafe,pelayanan,positif
nyaman,pelayanan,positif
surabaya,pelayanan,positif
barat,pelayanan,positif
nih,pelayanan,positif
menu,pelayanan,positif
menu,pelayanan,positif
banyak,pelayanan,positif
banget,pelayanan,positif
paling,pelayanan,positif
suka,pelayanan,positif
tempat,pelayanan,positif
layan,pelayanan,positif
tidak,pelayanan,positif
tahu,pelayanan,positif
tim,pelayanan,positif
malas,pelayanan,positif
aku,pelayanan,positif
malas,pelayanan,positif
kalau,pelayanan,positif
sendiri,pelayanan,positif
layan,pelayanan,positif
jadi,pelayanan,positif
lumayan,pelayanan,positif
senang,pelayanan,positif
kalau,pelayanan,positif
kesini,pelayanan,positif
velvet,rasa,positif
kopi,rasa,positif
enak,rasa,positif
suka,rasa,positif
pahit,rasa,positif
nya,rasa,positif
mozarella,rasa,positif
stik,rasa,positif
enak,rasa,positif
tebal,rasa,positif
bikin,rasa,positif
kenyang,rasa,positif
dingin,rasa,positif
putih,rasa,positif
karamel,rasa,positif
kelapa,rasa,positif
juara,rasa,positif
gaul,kenyamanan,negatif
luar,kenyamanan,negatif
kesini,kenyamanan,negatif
pertama,kenyamanan,negatif
kali,kenyamanan,negatif
pas,kenyamanan,negatif
surabaya,kenyamanan,negatif
saat,kenyamanan,negatif
akhir,kenyamanan,negatif
pekan,kenyamanan,negatif
langsung,kenyamanan,negatif
musik,kenyamanan,negatif
area,kenyamanan,negatif
luar,kenyamanan,negatif
kurang,kenyamanan,negatif
luas,kenyamanan,negatif
jadi,kenyamanan,negatif
kurang,kenyamanan,negatif
nyaman,kenyamanan,negatif
banding,kenyamanan,negatif
jumlah,kenyamanan,negatif
unjung,kenyamanan,negatif
datang,kenyamanan,negatif
rata,umum,negatif
rata,umum,negatif
anak,umum,negatif
muda,umum,negatif
surabaya,umum,negatif
tongkrong,umum,negatif
sini,umum,negatif
menu,umum,negatif
pilih,umum,negatif
kurang,umum,negatif
agam,umum,negatif
kalau,umum,negatif
kalian,umum,negatif
mau,umum,negatif
kesini,umum,negatif
lebih,umum,negatif
baik,umum,negatif
hindar,umum,negatif
akhir,umum,negatif
pekan,umum,negatif
semua,umum,negatif
rebut,umum,negatif
area,umum,negatif
luar,umum,negatif
tonton,umum,negatif
langsung,umum,negatif
musik,umum,negatif
banding,umum,negatif
pilih,umum,negatif
duduk,umum,negatif
area,umum,negatif
dalam,umum,negatif
bingung,rasa,negatif
minggu,rasa,negatif
mau,rasa,negatif
langsung,rasa,negatif
kesini,rasa,negatif
aja,rasa,negatif
coba,rasa,negatif
emang,rasa,negatif
mau,rasa,negatif
belah,rasa,negatif
sih,rasa,negatif
sekali,rasa,negatif
parkir,rasa,negatif
depan,rasa,negatif
kafe,rasa,negatif
kemarin,rasa,negatif
aku,rasa,negatif
sen,rasa,negatif
mangkuk,rasa,negatif
nasi,rasa,negatif
salmon,rasa,negatif
sama,rasa,negatif
daging,rasa,negatif
sapi,rasa,negatif
rica,rasa,negatif
aku,rasa,negatif
kurang,rasa,negatif
serak,rasa,negatif
sama,rasa,negatif
nasi,rasa,negatif
daging,rasa,negatif
sapi,rasa,negatif
rica,rasa,negatif
nya,rasa,negatif
tahu,rasa,negatif
kayak,rasa,negatif
lidah,rasa,negatif
cocok,rasa,negatif
aja,rasa,negatif
apa,rasa,negatif
di,rasa,negatif
kasih,rasa,negatif
mentega,rasa,negatif
mentega,rasa,negatif
tekstur,rasa,negatif
nasi,rasa,negatif
jadi,rasa,negatif
lembek,rasa,negatif
aneh,rasa,negatif
untuk,rasa,negatif
bumbu,rasa,negatif
oke,rasa,negatif
tempat,kenyamanan,positif
seru,kenyamanan,positif
langsung,kenyamanan,positif
musik,kenyamanan,positif
nya,kenyamanan,positif
jam,kenyamanan,positif
malam,kenyamanan,positif
jam,kenyamanan,positif
sedia,kenyamanan,positif
makan,kenyamanan,positif
berat,kenyamanan,positif
makan,kenyamanan,positif
ringan,kenyamanan,positif
tempat,kenyamanan,positif
ada,kenyamanan,positif
yang,kenyamanan,positif
luar,kenyamanan,positif
dalam,kenyamanan,positif
benar,kenyamanan,netral
tempat,kenyamanan,netral
artistik,kenyamanan,netral
pas,kenyamanan,netral
datang,kenyamanan,netral
ramai,kenyamanan,netral
jadi,kenyamanan,netral
bisa,kenyamanan,netral
terlalu,kenyamanan,netral
nikmat,kenyamanan,netral
makan,rasa,positif
minum,rasa,positif
seluruh,rasa,positif
enak,rasa,positif
layan,pelayanan,positif
cepat,pelayanan,positif
layan,pelayanan,positif
prima,pelayanan,positif
makan,rasa,positif
enak,rasa,positif
parkir,umum,netral
luas,umum,netral
bayar,umum,netral
8,umum,netral
sering,umum,netral
penuh,umum,netral
tempat,umum,netral
tempat,kenyamanan,positif
enak,kenyamanan,positif
buat,kenyamanan,positif
tongkrong,kenyamanan,positif
sama,kenyamanan,positif
teman,kenyamanan,positif
buat,kenyamanan,positif
obrol,kenyamanan,positif
bisnis,kenyamanan,positif
enak,kenyamanan,positif
minum,rasa,positif
nya,rasa,positif
sama,rasa,positif
makan,rasa,positif
nya,rasa,positif
lumayan,rasa,positif
sih,rasa,positif
harga,rasa,positif
segitu,rasa,positif
segi,kenyamanan,positif
tempat,kenyamanan,positif
nyaman,kenyamanan,positif
kopi,rasa,positif
nya,rasa,positif
oke,rasa,positif
lah,rasa,positif
nambah,rasa,positif
ambil,rasa,positif
pergi,rasa,positif
dingin,rasa,positif
putih,rasa,positif
nya,rasa,positif
tempat,kenyamanan,positif
baik,kenyamanan,positif
jadi,kenyamanan,positif
tempat,kenyamanan,positif
temu,kenyamanan,positif
teman,kenyamanan,positif
kolega,kenyamanan,positif
keluarga,kenyamanan,positif
minum,rasa,netral
spesial,rasa,netral
kopi,rasa,netral
dingin,rasa,netral
buat,rasa,netral
sedia,rasa,netral
makan,rasa,netral
kecil,rasa,netral
makan,rasa,netral
berat,rasa,netral
harga,harga,netral
masuk,harga,netral
akal,harga,netral
ajak,rasa,negatif
teman,rasa,negatif
beli,rasa,negatif
menu,rasa,negatif
varian,rasa,negatif
teh,rasa,negatif
sini,rasa,negatif
hasil,rasa,negatif
rekomendasi,rasa,negatif
layan,rasa,negatif
rasa,rasa,negatif
kurang,rasa,negatif
masuk,rasa,negatif
selera,rasa,negatif
ada,kenyamanan,negatif
langsung,kenyamanan,negatif
musik,kenyamanan,negatif
jadi,kenyamanan,negatif
saran,kenyamanan,negatif
obrol,kenyamanan,negatif
tenang,kenyamanan,negatif
suasana,umum,positif
kafe,umum,positif
cukup,umum,positif
modern,umum,positif
good,kenyamanan,positif
tempat,kenyamanan,positif
tongkrong,kenyamanan,positif
bareng,kenyamanan,positif
temen,kenyamanan,positif
suasana,kenyamanan,positif
merah,kenyamanan,positif
hitam,kenyamanan,positif
bagus,kenyamanan,positif
sih,kenyamanan,positif
suka,kenyamanan,positif
suasana,kenyamanan,positif
kopi,rasa,positif
enak,rasa,positif
pas,rasa,positif
sih,rasa,positif
camil,rasa,positif
camlian,rasa,positif
oke,rasa,positif
sih,rasa,positif
cuma,rasa,netral
bawang,rasa,netral
cincin,rasa,netral
minyak,rasa,netral
tempat,kenyamanan,positif
oke,kenyamanan,positif
ada,kenyamanan,positif
